angle,timeInMillisec,start_angle,initial_velocity
30.35,0.017,30.35,0
30.31,0.019,30.35,0
30.36,0.021,30.35,0
30.48,0.029,30.35,0
29.9,0.043,30.35,0
30.08,0.057,30.35,0
30.07,0.07,30.35,0
30.13,0.083,30.35,0
29.97,0.097,30.35,0
30.06,0.125,30.35,0
29.34,0.14,30.35,0
29.9,0.154,30.35,0
29.93,0.184,30.35,0
30.13,0.198,30.35,0
30.31,0.212,30.35,0
29.89,0.227,30.35,0
30.37,0.242,30.35,0
30.08,0.256,30.35,0
29.84,0.271,30.35,0
29.78,0.285,30.35,0
29.59,0.3,30.35,0
29.83,0.329,30.35,0
31.34,0.343,30.35,0
29.58,0.358,30.35,0
29.69,0.373,30.35,0
28.77,0.387,30.35,0
26.81,0.416,30.35,0
24.38,0.446,30.35,0
22.62,0.46,30.35,0
21.23,0.474,30.35,0
19.39,0.489,30.35,0
17.25,0.504,30.35,0
15.67,0.518,30.35,0
13.38,0.533,30.35,0
11.45,0.547,30.35,0
9.14,0.561,30.35,0
7.27,0.576,30.35,0
5.23,0.589,30.35,0
0.7,0.616,30.35,0
-1.57,0.629,30.35,0
-4.03,0.644,30.35,0
-5.95,0.659,30.35,0
-8.55,0.673,30.35,0
-10.2,0.687,30.35,0
-15.25,0.719,30.35,0
-16.77,0.735,30.35,0
-18.99,0.75,30.35,0
-20.58,0.766,30.35,0
-21.91,0.782,30.35,0
-23.62,0.797,30.35,0
-25.91,0.828,30.35,0
-26.65,0.844,30.35,0
-27.59,0.859,30.35,0
-27.93,0.875,30.35,0
-28.56,0.89,30.35,0
-28.67,0.922,30.35,0
-28.2,0.937,30.35,0
-25.79,0.953,30.35,0
-25.95,0.984,30.35,0
-25.58,1.0,30.35,0
-24.55,1.016,30.35,0
-22.83,1.034,30.35,0
-21.84,1.05,30.35,0
-20.32,1.066,30.35,0
-18.2,1.083,30.35,0
-14.51,1.116,30.35,0
-12.61,1.133,30.35,0
-10.05,1.149,30.35,0
-7.88,1.167,30.35,0
-5.42,1.182,30.35,0
-3.14,1.197,30.35,0
3.44,1.243,30.35,0
5.67,1.258,30.35,0
7.7,1.272,30.35,0
9.52,1.286,30.35,0
11.23,1.302,30.35,0
13.36,1.317,30.35,0
15.16,1.333,30.35,0
17.08,1.348,30.35,0
18.08,1.364,30.35,0
20.34,1.38,30.35,0
20.95,1.395,30.35,0
23.65,1.426,30.35,0
24.48,1.442,30.35,0
24.8,1.457,30.35,0
24.84,1.473,30.35,0
26.06,1.505,30.35,0
26.29,1.52,30.35,0
26.11,1.535,30.35,0
25.49,1.551,30.35,0
25.58,1.567,30.35,0
24.32,1.582,30.35,0
21.63,1.628,30.35,0
20.37,1.645,30.35,0
18.95,1.66,30.35,0
17.64,1.676,30.35,0
16.09,1.691,30.35,0
12.49,1.723,30.35,0
11.21,1.738,30.35,0
6.99,1.769,30.35,0
5.02,1.783,30.35,0
3.47,1.797,30.35,0
1.3,1.812,30.35,0
-0.59,1.826,30.35,0
-2.33,1.842,30.35,0
-4.73,1.858,30.35,0
-6.62,1.873,30.35,0
-8.29,1.889,30.35,0
-12.0,1.921,30.35,0
-14.92,1.938,30.35,0
-16.28,1.954,30.35,0
-17.64,1.972,30.35,0
-18.84,1.988,30.35,0
-21.91,2.038,30.35,0
-23.33,2.054,30.35,0
-23.87,2.071,30.35,0
-24.0,2.087,30.35,0
-24.22,2.105,30.35,0
-24.27,2.121,30.35,0
-23.82,2.137,30.35,0
-23.62,2.154,30.35,0
-23.27,2.171,30.35,0
-22.67,2.188,30.35,0
-20.36,2.22,30.35,0
-19.38,2.238,30.35,0
-18.43,2.254,30.35,0
-17.08,2.271,30.35,0
-13.82,2.304,30.35,0
-11.89,2.321,30.35,0
-10.71,2.337,30.35,0
-8.48,2.353,30.35,0
-6.86,2.37,30.35,0
-5.03,2.385,30.35,0
-1.04,2.416,30.35,0
0.48,2.432,30.35,0
2.76,2.447,30.35,0
4.32,2.461,30.35,0
6.08,2.475,30.35,0
7.24,2.49,30.35,0
10.75,2.519,30.35,0
12.54,2.535,30.35,0
15.3,2.566,30.35,0
16.55,2.582,30.35,0
17.46,2.597,30.35,0
18.6,2.613,30.35,0
19.25,2.629,30.35,0
19.91,2.644,30.35,0
20.89,2.66,30.35,0
21.41,2.675,30.35,0
21.79,2.69,30.35,0
21.73,2.722,30.35,0
21.95,2.737,30.35,0
21.46,2.753,30.35,0
21.54,2.769,30.35,0
21.29,2.785,30.35,0
18.04,2.832,30.35,0
16.88,2.847,30.35,0
15.51,2.862,30.35,0
15.26,2.878,30.35,0
13.8,2.893,30.35,0
12.15,2.909,30.35,0
10.74,2.925,30.35,0
9.17,2.94,30.35,0
7.88,2.955,30.35,0
6.05,2.97,30.35,0
4.48,2.984,30.35,0
1.13,3.013,30.35,0
-0.19,3.028,30.35,0
-2.07,3.044,30.35,0
-4.09,3.059,30.35,0
-5.76,3.074,30.35,0
-9.15,3.106,30.35,0
-10.52,3.121,30.35,0
-12.22,3.138,30.35,0
-12.85,3.154,30.35,0
-14.69,3.172,30.35,0
-15.58,3.188,30.35,0
-17.71,3.221,30.35,0
-18.58,3.238,30.35,0
-19.2,3.255,30.35,0
-19.63,3.271,30.35,0
-20.01,3.287,30.35,0
-20.33,3.321,30.35,0
-20.0,3.338,30.35,0
-19.09,3.371,30.35,0
-18.88,3.388,30.35,0
-18.01,3.404,30.35,0
-17.5,3.42,30.35,0
-16.22,3.438,30.35,0
-15.23,3.454,30.35,0
-14.17,3.471,30.35,0
-13.33,3.487,30.35,0
-10.43,3.521,30.35,0
-8.67,3.537,30.35,0
-7.35,3.553,30.35,0
-6.09,3.569,30.35,0
-3.96,3.584,30.35,0
0.75,3.631,30.35,0
2.13,3.646,30.35,0
3.72,3.66,30.35,0
4.74,3.674,30.35,0
5.99,3.689,30.35,0
7.74,3.704,30.35,0
9.04,3.718,30.35,0
10.22,3.733,30.35,0
11.33,3.748,30.35,0
12.21,3.765,30.35,0
13.62,3.78,30.35,0
15.06,3.811,30.35,0
15.53,3.827,30.35,0
16.52,3.842,30.35,0
17.2,3.858,30.35,0
17.99,3.905,30.35,0
18.08,3.92,30.35,0
18.18,3.936,30.35,0
17.42,3.951,30.35,0
17.72,3.967,30.35,0
17.74,3.983,30.35,0
15.91,4.013,30.35,0
15.14,4.03,30.35,0
14.35,4.045,30.35,0
13.42,4.06,30.35,0
12.58,4.076,30.35,0
10.78,4.091,30.35,0
8.78,4.123,30.35,0
7.55,4.137,30.35,0
5.23,4.167,30.35,0
3.7,4.181,30.35,0
2.69,4.196,30.35,0
1.12,4.21,30.35,0
-0.13,4.224,30.35,0
-1.83,4.241,30.35,0
-2.94,4.256,30.35,0
-4.35,4.271,30.35,0
-5.74,4.287,30.35,0
-8.59,4.319,30.35,0
-9.52,4.334,30.35,0
-10.52,4.349,30.35,0
-11.44,4.367,30.35,0
-13.15,4.383,30.35,0
-15.07,4.433,30.35,0
-15.68,4.45,30.35,0
-16.11,4.466,30.35,0
-16.6,4.482,30.35,0
-17.03,4.5,30.35,0
-16.89,4.516,30.35,0
-16.47,4.533,30.35,0
-16.43,4.549,30.35,0
-16.11,4.566,30.35,0
-15.82,4.583,30.35,0
-14.27,4.615,30.35,0
-13.93,4.633,30.35,0
-12.81,4.649,30.35,0
-12.01,4.666,30.35,0
-9.84,4.699,30.35,0
-8.76,4.715,30.35,0
-7.24,4.73,30.35,0
-6.16,4.746,30.35,0
-5.05,4.762,30.35,0
-4.06,4.777,30.35,0
-0.5,4.823,30.35,0
1.21,4.84,30.35,0
2.65,4.854,30.35,0
3.65,4.868,30.35,0
4.51,4.883,30.35,0
6.27,4.912,30.35,0
7.8,4.927,30.35,0
9.53,4.955,30.35,0
10.46,4.971,30.35,0
11.23,4.986,30.35,0
12.11,5.002,30.35,0
12.17,5.017,30.35,0
12.88,5.033,30.35,0
13.91,5.049,30.35,0
14.27,5.064,30.35,0
14.38,5.079,30.35,0
14.36,5.096,30.35,0
14.58,5.111,30.35,0
14.24,5.142,30.35,0
14.3,5.158,30.35,0
14.07,5.174,30.35,0
14.19,5.189,30.35,0
12.3,5.22,30.35,0
11.79,5.236,30.35,0
10.75,5.251,30.35,0
10.43,5.267,30.35,0
9.51,5.282,30.35,0
8.18,5.297,30.35,0
7.58,5.312,30.35,0
6.85,5.326,30.35,0
5.77,5.34,30.35,0
4.59,5.355,30.35,0
3.72,5.37,30.35,0
2.83,5.384,30.35,0
0.36,5.413,30.35,0
-0.72,5.429,30.35,0
-2.28,5.444,30.35,0
-2.59,5.459,30.35,0
-5.23,5.491,30.35,0
